
> nexus-creator@0.1.0 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.111:3000
- Environments: .env.local
✓ Ready in 322ms
{"level":"info","msg":"server.start","time":"2026-06-10T11:50:28.257Z","env":"development","runtime":"nodejs","node":"v24.15.0"}

 GET /api/subscriptions?role=subscriber 200 in 294ms (next.js: 80ms, proxy.ts: 8ms, application-code: 206ms)
 GET /api/subscriptions?role=creator 200 in 212ms (next.js: 7ms, proxy.ts: 11ms, application-code: 193ms)
 GET /api/subscriptions?role=subscriber 200 in 209ms (next.js: 9ms, proxy.ts: 7ms, application-code: 193ms)
 GET /orders 200 in 66ms (next.js: 37ms, proxy.ts: 7ms, application-code: 23ms)
 GET /api/orders/my 200 in 334ms (next.js: 36ms, proxy.ts: 5ms, application-code: 293ms)
 GET /api/orders/my 200 in 323ms (next.js: 6ms, proxy.ts: 21ms, application-code: 295ms)
 GET /wishlist 200 in 725ms (next.js: 693ms, proxy.ts: 6ms, application-code: 25ms)
 GET /api/wishlist?detailed=1 200 in 506ms (next.js: 197ms, proxy.ts: 6ms, application-code: 302ms)
 GET /api/wishlist?detailed=1 200 in 302ms (next.js: 4ms, proxy.ts: 5ms, application-code: 293ms)
 GET /team 200 in 663ms (next.js: 632ms, proxy.ts: 6ms, application-code: 24ms)
 GET /api/team 200 in 490ms (next.js: 299ms, proxy.ts: 5ms, application-code: 187ms)
 GET /api/team 200 in 215ms (next.js: 4ms, proxy.ts: 7ms, application-code: 205ms)
 GET /api/notifications 200 in 115ms (next.js: 3ms, proxy.ts: 5ms, application-code: 108ms)
 GET /api/notifications 200 in 519ms (next.js: 4ms, proxy.ts: 8ms, application-code: 507ms)
 GET /api/auth/session 200 in 50ms (next.js: 29ms, proxy.ts: 6ms, application-code: 15ms)
 GET /api/auth/session 200 in 18ms (next.js: 6ms, proxy.ts: 4ms, application-code: 9ms)
 GET /api/notifications 200 in 501ms (next.js: 4ms, proxy.ts: 6ms, application-code: 490ms)
 GET /api/notifications 200 in 480ms (next.js: 2ms, proxy.ts: 3ms, application-code: 475ms)
 GET /api/notifications 200 in 552ms (next.js: 4ms, proxy.ts: 7ms, application-code: 541ms)
 GET /api/notifications 200 in 533ms (next.js: 1604µs, proxy.ts: 2ms, application-code: 529ms)
 GET /api/notifications 200 in 450ms (next.js: 2ms, proxy.ts: 3ms, application-code: 445ms)
 GET /api/notifications 200 in 431ms (next.js: 3ms, proxy.ts: 4ms, application-code: 424ms)
